Cuisines,Cuisines
North Indian,936
"North Indian, Chinese",511
Chinese,354
Fast Food,354
"North Indian, Mughlai",334
Cafe,299
Bakery,218
"North Indian, Mughlai, Chinese",197
"Bakery, Desserts",170
Street Food,149
"Pizza, Fast Food",131
"Chinese, Fast Food",118
"Mithai, Street Food",116
South Indian,112
"Bakery, Fast Food",108
"Chinese, North Indian",105
Mughlai,103
"Ice Cream, Desserts",83
Ice Cream,74
"North Indian, Fast Food",74
Mithai,71
"North Indian, Chinese, Mughlai",70
"North Indian, Chinese, Fast Food",68
"North Indian, Chinese, Continental",65
"Bakery, Desserts, Fast Food",63
"American, Fast Food, Salad, Healthy Food",62
"Mughlai, North Indian",60
"Fast Food, Burger",56
Italian,54
Biryani,54
Beverages,54
Desserts,53
Pizza,53
"Chinese, Thai",51
Finger Food,49
"Raw Meats, North Indian, Fast Food",49
"North Indian, South Indian, Chinese",46
"Fast Food, North Indian",46
"Raw Meats, Fast Food",44
"Fast Food, Beverages",44
"Burger, Fast Food",43
"South Indian, North Indian, Chinese",42
"Fast Food, Chinese",41
"Italian, Pizza, Fast Food",36
Mexican,36
"North Indian, South Indian",35
"North Indian, Chinese, South Indian",34
"South Indian, Chinese",34
American,31
"North Indian, Continental",28
"Desserts, Ice Cream",26
"Italian, Pizza",24
"North Indian, Street Food",22
"Burger, Desserts, Fast Food",22
Continental,21
"Cafe, Tea",20
"American, Fast Food",20
"South Indian, North Indian",19
"Pizza, Italian",19
"Street Food, Mithai",18
Asian,18
"Mughlai, North Indian, Chinese",18
"Biryani, North Indian",18
"Fast Food, Street Food",18
"North Indian, Continental, Chinese",18
"Cafe, Fast Food",18
"Japanese, Sushi",18
Indian,18
Japanese,17
"Biryani, Mughlai",17
"North Indian, Chinese, Italian",16
"Cafe, Bakery",16
Thai,16
"Beverages, Fast Food",15
Healthy Food,15
"North Indian, Biryani",15
"North Indian, South Indian, Chinese, Street Food, Fast Food, Mithai, Desserts",14
"Desserts, Beverages",14
Seafood,14
"Continental, North Indian",13
"North Indian, South Indian, Chinese, Fast Food",13
"American, Burger",13
"Continental, Italian",13
"Tibetan, Chinese",13
"North Indian, Chinese, Continental, Italian",12
"Street Food, North Indian",12
"Cafe, Continental",12
"Cafe, Italian",12
Modern Indian,11
"Fast Food, North Indian, Chinese",11
"Fast Food, Pizza",11
"Chinese, Mughlai, North Indian",11
"Desserts, Bakery",11
"Chinese, South Indian",11
"Italian, Fast Food",10
"Cafe, Continental, Italian",10
"North Indian, Chinese, South Indian, Fast Food",10
"Asian, Chinese",10
"Continental, North Indian, Chinese",10
Brazilian,9
"Street Food, Fast Food",9
Lebanese,9
"Fast Food, Bakery",9
"Cafe, North Indian, Chinese",9
"South Indian, Fast Food",9
"North Indian, South Indian, Fast Food",9
"North Indian, Continental, Italian",9
"North Indian, Fast Food, Chinese",9
BBQ,9
"Cafe, Desserts",9
"North Indian, South Indian, Fast Food, Street Food, Chinese, Beverages, Desserts, Mithai",8
Kashmiri,8
"Raw Meats, Fast Food, North Indian",8
"Tea, Fast Food",8
"North Indian, Mughlai, Biryani",8
"Japanese, Steak, Sushi",8
"Chinese, North Indian, Mughlai",8
"Healthy Food, Salad",8
"Mughlai, Biryani",8
"Chinese, Thai, Asian",8
"American, Seafood, Steak",8
"Italian, Pizza, Bakery",8
"North Indian, Chinese, Italian, Continental",8
"North Indian, Continental, Asian",8
"North Indian, Mughlai, Chinese, Fast Food",8
"Biryani, Hyderabadi",7
"Mithai, Fast Food",7
French,7
European,7
"Fast Food, Italian",7
"American, Fast Food, Burger",7
"Continental, Chinese, North Indian",7
Steak,7
"American, Breakfast",7
"Desserts, Street Food",7
"North Indian, Italian, Continental",7
"Burger, American, Fast Food",6
"Cafe, Italian, Continental",6
"North Indian, Italian, Chinese",6
"Italian, Continental",6
Korean,6
"Continental, North Indian, Italian",6
"North Indian, Chinese, Street Food",6
"Chinese, North Indian, Fast Food",6
Maharashtrian,6
"Continental, Healthy Food",6
International,6
"Chinese, Continental, North Indian",6
"Ice Cream, Beverages, Fast Food",6
"Street Food, Chinese",6
"Continental, Italian, North Indian",6
"Mughlai, Chinese",6
"Chinese, North Indian, South Indian",6
"Bengali, North Indian",6
"Desserts, Fast Food",6
"Mithai, North Indian",6
"Bakery, Mithai",6
"Cafe, Chinese",6
Tea,6
"Chinese, Fast Food, North Indian",6
"Cafe, Bakery, Desserts",6
Burger,6
"Continental, American",5
"North Indian, European, Mediterranean",5
Bengali,5
Kerala,5
"European, Continental",5
"Chinese, Tibetan",5
"Biryani, North Indian, Mughlai",5
"Continental, North Indian, Asian",5
"North Indian, Street Food, Mithai",5
"Chinese, Asian, Thai",5
"North Indian, Chinese, Thai",5
"North Indian, European",5
